Timestamp,Please enter the unique ID code you gave yourself.,What was your gender at birth?,"Using your PREFERRED hand to take the test: Please enter your FIRST reaction time in milliseconds (e.g., 326).",Please enter your score on the Verbal Memory test. (Use your preferred hand to take the test.),Please enter your score on the Number Memory test. (Use your preferred hand to take the test.),Please enter your score on the Visual Memory test. (Use your preferred hand to take the test.),"Please enter your weight, in kilograms.","Are you right handed, left handed, or ambidextrous?","Using your NON-PREFERRED hand to take the test: Please enter your average reaction time in milliseconds (e.g., 326).","Using your PREFERRED hand to take the test: Please enter your SECOND reaction time in milliseconds (e.g., 326).","Using your PREFERRED hand to take the test: Please enter your THIRD reaction time in milliseconds (e.g., 326).","Using your PREFERRED hand to take the test: Please enter your FOURTH reaction time in milliseconds (e.g., 326).","Using your PREFERRED hand to take the test: Please enter your FIFTH reaction time in milliseconds (e.g., 326).","Using your PREFERRED hand to take the test: Please enter your AVERAGE reaction time in milliseconds (e.g., 326).","Pick a random whole number from 1 to 10, and enter it."
17/02/2020 14:16:31,Mel,Female,5,68,8,10,58,Left handed,6,4,3,2,2,4,3
17/02/2020 14:23:11,nohuman1234567891,Female,350,108,9,10,68,Right handed,364,322,405,366,345,328,7
17/02/2020 14:29:45,ggg,Male,267,29,8,10,70,Right handed,287,282,270,301,290,281,6
17/02/2020 14:19:34,mimimi,Female,387,30,10,9,51,Right handed,350,335,329,320,340,342,6
17/02/2020 14:20:02,Ninjaaaaa,Female,336,50,11,26,63,Right handed,324,408,280,292,306,318,8
17/02/2020 14:20:13,Lalala,Female,372,16,7,10,52,Right handed,372,371,384,414,353,379,7
17/02/2020 14:20:20,321,Male,292,71,9,7,68,Right handed,296,304,279,273,333,299,1
17/02/2020 14:20:28,3am,Female,320,31,7,10,66,Right handed,339,351,290,330,295,317,3
17/02/2020 14:20:37,Yannic,Male,38,436,405,365,74,Left handed,395,335,285,311,273,248,8
17/02/2020 14:20:44,Aight,Male,289,91,8,11,65,Right handed,265,289,275,283,253,278,7
17/02/2020 14:20:49,sol,Female,269,41,7,10,50,Right handed,304,285,291,265,303,283,5
17/02/2020 14:20:53,Guest user,Male,246,243,242,234,74,Right handed,275,223,239,233,238,238,2
17/02/2020 14:21:02,FocalocALE,Female,319,34,10,10,52,Right handed,268,255,311,249,274,282,2
17/02/2020 14:25:41,CBX,Male,266,75,7,11,96,Right handed,253,270,286,252,254,254,4
17/02/2020 14:21:03,kj9,Female,304,30,8,9,49,Right handed,353,369,287,359,250,272,9
17/02/2020 14:26:32,poiasdmnb,Female,308,5,7,10,52,Right handed,345,313,310,310,275,345,6
17/02/2020 14:21:33,9172ad,Female,309,48,9,9,62,Right handed,329,325,323,297,278,306,7
17/02/2020 14:21:47,lala,Female,312,32,7,8,57,Right handed,304,254,284,300,281,286,4
17/02/2020 14:21:59,38405,Male,340,71,7,8,70,Right handed,298,322,309,301,272,309,8
17/02/2020 14:22:00,asdfg,Female,279,41,4,9,42,Right handed,316,361,346,333,321,328,6
17/02/2020 14:22:04,speedo,Male,272,23,8,9,75,Right handed,267,264,279,268,289,273,6
17/02/2020 14:22:04,HA10,Female,517,45,6,9,55,Right handed,597,409,392,386,359,413,6
17/02/2020 14:22:13,sunshine,Female,272,24,6,10,80,Right handed,287,282,281,282,297,280,9
17/02/2020 14:22:15,lale,Female,274,29,8,9,65,Right handed,295,301,263,278,340,291,7
17/02/2020 14:22:25,Pineapple madness,Female,343,36,10,9,62,Right handed,368,885,712,424,373,547,7
17/02/2020 14:23:24,joe fangirl,Female,356,80,8,9,61,Right handed,353,290,337,306,372,332,7
17/02/2020 14:22:25,hallohallo,Female,389,32,8,10,52,Right handed,429,346,378,348,336,370,3
17/02/2020 14:22:27,Spongebob SquarePants,Female,362,439,8,14,68,Ambidextrous,439,178,405,223,349,303,3
17/02/2020 14:22:27,Herr P.Immel,Male,283,51,7,9,80,Right handed,316,277,274,273,260,277,7
17/02/2020 14:22:30,Ananas12,Female,382,36,10,9,51,Right handed,383,381,355,332,358,379,4
17/02/2020 14:22:32,3599172,Female,288,33,9,11,67,Right handed,275,252,262,256,285,269,3
17/02/2020 14:22:35,WhiteSocks123,Male,327,113,9,9,80,Right handed,327,321,325,310,333,323,3
17/02/2020 14:22:49,R-s-Q-77-A,Female,325,27,8,11,73,Right handed,342,306,354,326,304,333,6
17/02/2020 14:22:51,NYTDG,Male,270,77,11,9,66,Right handed,278,288,292,278,247,304,8
17/02/2020 14:23:15,Pinkyburny,Female,288,23,8,12,68,Right handed,313,339,336,291,294,310,9
17/02/2020 14:23:15,gandalf,Male,242,51,8,9,95,Right handed,241,223,246,232,250,239,8
17/02/2020 14:23:17,bee98,Female,414,390,9,9,55,Right handed,390,342,345,324,340,379,5
17/02/2020 14:23:41,halo123,Female,329,22,10,9,63,Right handed,352,370,317,305,281,320,3
17/02/2020 14:23:28,noname,Female,353,58,8,10,65,Right handed,292,289,265,264,288,292,251
17/02/2020 14:23:29,451451,Male,371,52,6,10,68,Right handed,432,332,394,386,357,368,7
17/02/2020 14:23:29,0301,Female,326,39,11,8,63,Right handed,274,266,246,249,287,275,7
17/02/2020 14:23:31,Waikiki,Female,270,26,9,10,66,Right handed,248,252,260,269,242,259,4
17/02/2020 14:23:32,rüdifüdli7,Male,260,42,8,9,72,Right handed,252,275,266,271,252,265,3
17/02/2020 14:23:34,pipapo,Female,383,27,8,7,58,Left handed,381,418,342,393,354,378,4
17/02/2020 14:23:41,lalala,Female,281,55,9,10,54,Right handed,306,263,262,268,341,283,9
17/02/2020 14:23:44,Ffffff,Female,366,33,10,8,65,Right handed,372,422,405,450,426,414,7
17/02/2020 14:23:45,Alaska,Female,354,137,10,9,50,Right handed,351,363,352,329,328,345,8
17/02/2020 14:23:47,bluub2000,Male,247,221,8,9,82,Right handed,241,236,251,239,263,247,7
17/02/2020 14:23:47,1891,Female,350,29,9,10,59,Right handed,293,258,284,272,330,293,8
17/02/2020 14:23:51,Captain America,Male,325,50,8,9,75,Right handed,286,270,319,292,279,297,6
17/02/2020 14:23:57,181168,Male,266,57,8,9,66,Right handed,275,305,286,328,297,296,2
17/02/2020 14:23:58,0910,Female,318,48,5,10,60,Left handed,354,329,418,299,323,337,6
17/02/2020 14:23:59,YEAH BUDDY,Male,279,24,9,9,85,Right handed,298,280,282,292,274,281,1
17/02/2020 14:24:02,camelback,Male,272,40,12,11,80,Ambidextrous,357,290,278,288,354,296,2
17/02/2020 14:24:06,CD5309u,Male,252,48,10,9,60,Right handed,237,268,214,238,229,240,7
